Index,Word,Part of Speech,Definition,Sentence
893,"Blandishment","noun","a flattering or pleasing statement or action used to persuade someone gently to do something","The blandishments of the travel brochure."
894,"Chimerical","adjective","(of a mythical animal) formed from parts of various animals","Chimerical creatures."
895,"Dystopian","adjective","relating to or denoting an imagined state or society where there is great suffering or injustice","The dystopian future of a society in poverty and rebellion."
896,"Erudite","adjective","having or showing great knowledge or learning","Ken could turn any conversation into an erudite discussion."
897,"Flummox","verb","perplex (someone) greatly; bewilder","I was completely flummoxed by the question."
898,"Gratuitous","adjective","uncalled for; lacking good reason; unwarranted","Gratuitous violence."
899,"Hegira","noun","an exodus or migration","A hegira from war-torn countries."
900,"Impervious","adjective","not allowing fluid to pass through","The coat is impervious to rain."
901,"Jocose","adjective","playful or humorous","A jocose and amusing speech."
902,"Kaleidoscopic","adjective","having complex patterns of colors; multicolored","A kaleidoscopic view of bright lights."
903,"Limpid","adjective","(of a liquid) free of anything that darkens; completely clear","We could see fish darting in the limpid water."
904,"Mellifluous","adjective","(of a voice or words) sweet or musical; pleasant to hear","The mellifluous tones of the radio host."
905,"Nascent","adjective","(especially of a process or organization) just coming into existence and beginning to display signs of future potential","The nascent space industry."
906,"Obdurate","adjective","stubbornly refusing to change one's opinion or course of action","He remained obdurate, refusing to alter his decision."
907,"Pugnacious","adjective","eager or quick to argue, quarrel, or fight","The increasingly pugnacious demeanor of politicians."
908,"Quagmire","noun","a soft boggy area of land that gives way underfoot","Unexpectedly, we found ourselves in a quagmire."
909,"Reprobate","noun","an unprincipled person","He had to present himself as more of a reprobate than he really was."
910,"Scintillate","verb","emit flashes of light; sparkle","Scintillating stars."
911,"Tenebrous","adjective","dark; shadowy or obscure","The tenebrous alley was frightening."
912,"Unflappable","adjective","having or showing calmness in a crisis","He was totally unflappable, completely in control."
913,"Vicissitude","noun","a change of circumstances or fortune, typically one that is unwelcome or unpleasant","The vicissitudes of seasonal change."
914,"Wheedle","verb","use endearments or flattery to persuade someone to do something or give one something","She wheedled her way onto the guest list."
915,"Xenolith","noun","a rock fragment which becomes enveloped in a larger rock during the latter's development and hardening","A xenolith in the granite."
916,"Yesteryear","noun","last year or the recent past, especially as nostalgically recalled","The fashion trends of yesteryear."
917,"Ziggurat","noun","(in ancient Mesopotamia) a rectangular stepped tower, sometimes surmounted by a temple","An ancient ziggurat."
918,"Aphorism","noun","a pithy observation that contains a general truth","The old aphorism 'the child is father to the man'."
919,"Boondoggle","noun","work or activity that is wasteful or pointless but gives the appearance of having value","A government-funded boondoggle."
920,"Callipygian","adjective","having well-shaped buttocks","The statue is a callipygian Venus."
921,"Dystrophy","noun","a disorder in which an organ or tissue of the body wastes away","Muscular dystrophy."
922,"Ebullience","noun","the quality of being cheerful and full of energy; exuberance","The ebullience of youth."
923,"Fatuous","adjective","silly and pointless","A fatuous comment."
924,"Grisly","adjective","causing horror or disgust","The grisly details of the murder."
925,"Hortatory","adjective","aiming to exhort or encourage; encouraging","The speaker's hortatory style."
926,"Ineffable","adjective","too great or extreme to be expressed or described in words","The ineffable beauty of the sculpture."
927,"Juggernaut","noun","a huge, powerful, and overwhelming force or institution","A political juggernaut."
928,"Kitsch","noun","art, objects, or design considered to be in poor taste because of excessive garishness or sentimentality, but sometimes appreciated in an ironic or knowing way","The lounge was decorated in kitsch 1950s furniture."
929,"Lachrymose","adjective","tearful or given to weeping","She was pink-eyed and lachrymose."
930,"Maverick","noun","an independent-minded person","He's the maverick of the senate."
931,"Nebbish","noun","a person, especially a man, who is regarded as pitifully ineffectual, timid, or submissive","He plays the part of the nebbish very well."
932,"Obloquy","noun","strong public criticism or verbal abuse","He endured years of contempt and obloquy."
933,"Perfunctory","adjective","(of an action or gesture) carried out with a minimum of effort or reflection","He gave a perfunctory nod."
934,"Quiescent","adjective","in a state or period of inactivity or dormancy","The disease was quiescent."
935,"Recalcitrant","adjective","having an obstinately uncooperative attitude toward authority or discipline","A class of recalcitrant fifteen-year-olds."
936,"Saturnine","adjective","(of a person or their manner) slow and gloomy","A saturnine temperament."
937,"Truculent","adjective","eager or quick to argue or fight; aggressively defiant","His days of truculent defiance were over."
938,"Ubiquitous","adjective","present, appearing, or found everywhere","His ubiquitous influence was felt by all the family."
939,"Verdant","adjective","green with grass or other rich vegetation","Verdant valleys."
940,"Whimsical","adjective","playfully quaint or fanciful, especially in an appealing and amusing way","A whimsical sense of humor."
941,"Xerophyte","noun","a plant that needs very little water","A cactus is a type of xerophyte."
942,"Yawl","noun","a ship's small boat, crewed by the ship's sailors","They rowed the yawl to the shore."
943,"Zephyr","noun","a soft gentle breeze","The gentle zephyr cooled their faces."
944,"Anathema","noun","something or someone that one vehemently dislikes","Racial hatred was anathema to her."
945,"Bumptious","adjective","self-assertive or proud to an irritating degree","A bumptious young man."
946,"Cacophony","noun","a harsh discordant mixture of sounds","A cacophony of deafening alarm bells."
947,"Dexterous","adjective","showing or having skill, especially with the hands","A dexterous watchmaker."
948,"Egregious","adjective","outstandingly bad; shocking","Egregious errors."
949,"Fecund","adjective","producing or capable of producing an abundance of offspring or new growth; fertile","Fecund imagination."
950,"Gregarious","adjective","(of a person) fond of company; sociable","He was a popular and gregarious man."
951,"Harbinger","noun","a person or thing that announces or signals the approach of another","Witch hazels are the harbingers of spring."
952,"Imperious","adjective","assuming power or authority without justification; arrogant and domineering","His imperious demands."
953,"Juxtapose","verb","place or deal with close together for contrasting effect","Black-and-white photos were juxtaposed with color images."
954,"Knavery","noun","unprincipled, untrustworthy, or dishonest behavior; trickery","The general knavery of the merchant class."
955,"Lethargic","adjective","affected by lethargy; sluggish and apathetic","I felt tired and a little lethargic."
956,"Magnanimous","adjective","very generous or forgiving, especially toward a rival or someone less powerful than oneself","She should be magnanimous in victory."
957,"Nefarious","adjective","(typically of an action or activity) wicked or criminal","The nefarious activities of the organized-crime syndicates."
958,"Ostentatious","adjective","characterized by vulgar or pretentious display; designed to impress or attract notice","Books that people buy and display ostentatiously but never actually finish."
959,"Pernicious","adjective","having a harmful effect, especially in a gradual or subtle way","The pernicious influences of the mass media."
960,"Quixotic","adjective","exceedingly idealistic; unrealistic and impractical","A quixotic quest."
961,"Reciprocity","noun","the practice of exchanging things with others for mutual benefit, especially privileges granted by one country or organization to another","The reciprocity treaty with the EU."
962,"Stentorian","adjective","(of a person's voice) loud and powerful","A stentorian command."
963,"Turpitude","noun","depraved or wicked behavior or character","Acts of moral turpitude."
964,"Uxorious","adjective","having or showing an excessive or submissive fondness for one's wife","He became so uxorious that even the servants mocked him."
965,"Vexation","noun","the state of being annoyed, frustrated, or worried","Jenny bit her lip in vexation."
966,"Wistful","adjective","having or showing a feeling of vague or regretful longing","A wistful smile."
967,"Xenophobic","adjective","having or showing a dislike of or prejudice against people from other countries","The xenophobic attitudes of some people."
968,"Yokel","noun","an uneducated and unsophisticated person from the countryside","Country yokels."
969,"Zealous","adjective","having or showing zeal","The council was extremely zealous in the application of the regulations."
970,"Aberration","noun","a departure from what is normal, usual, or expected, typically an unwelcome one","He described the outbreak of violence in the area as an aberration."
971,"Boorish","adjective","rough and bad-mannered; coarse","Boorish behavior."
972,"Cataclysm","noun","a large-scale and violent event in the natural world","The cataclysm at the end of the Cretaceous period."
973,"Dichotomy","noun","a division or contrast between two things that are or are represented as being opposed or entirely different","A rigid dichotomy between science and mysticism."
974,"Effervescent","adjective","(of a liquid) giving off bubbles; fizzy","An effervescent drink."
975,"Florid","adjective","having a red or flushed complexion","A stout man with a florid face."
976,"Garish","adjective","obtrusively bright and showy; lurid","Garish shirts in all sorts of colors."
977,"Haphazard","adjective","lacking any obvious principle of organization","The furniture was haphazard, as if each piece had been bought independently."
978,"Impeccable","adjective","(of behavior, performance, or appearance) in accordance with the highest standards of propriety; faultless","A man of impeccable character."
979,"Jaded","adjective","tired, bored, or lacking enthusiasm, typically after having had too much of something","Meals to tempt the most jaded appetites."
980,"Knell","noun","the sound of a bell, especially when rung solemnly for a death or funeral","The bells tolled a final knell."
981,"Laudatory","adjective","expressing praise and commendation","Laudatory reviews."
982,"Maudlin","adjective","self-pityingly or tearfully sentimental, often through drunkenness","The drink made her maudlin."
983,"Nostalgic","adjective","characterized by or exhibiting feelings of nostalgia","A wave of nostalgic sentiment."
984,"Obsequious","adjective","obedient or attentive to an excessive or servile degree","They were served by obsequious waiters."
985,"Pallid","adjective","(of a person's face) pale, typically because of poor health","The pallid face of a invalid."
986,"Querulous","adjective","complaining in a petulant or whining manner","She became querulous and demanding."
987,"Rancorous","adjective","characterized by bitterness or resentment","A rancorous dispute among the members."
988,"Sardonic","adjective","grimly mocking or cynical","He gave a sardonic grin."
989,"Tautological","adjective","expressing the same thing, an idea, or saying two or more times","It's a tautological statement."
990,"Unctuous","adjective","excessively or ingratiatingly flattering; oily","He seemed anxious to please but not in an unctuous way."
991,"Vivacious","adjective","(especially of a woman) attractively lively and animated","Her vivacious and elegant mother."
992,"Winsome","adjective","attractive or appealing in appearance or character","A winsome smile."
993,"Xenogenesis","noun","the supposed generation of offspring entirely and permanently different from the parent","The concept of xenogenesis is not accepted in modern biology."
994,"Yammer","verb","make a loud repetitive noise","She yammered on about her holiday."
995,"Zeitgeist","noun","the defining spirit or mood of a particular period of history as shown by the ideas and beliefs of the time","The zeitgeist of the 1960s."
996,"Abject","adjective","(of a situation or condition) extremely bad, unpleasant, and degrading","Abject poverty."
997,"Bijou","adjective","small and elegant","A bijou residence."
998,"Capitulate","verb","cease to resist an opponent or an unwelcome demand; surrender","The patriots had to capitulate to the enemy forces."
999,"Dissuade","verb","persuade (someone) not to take a particular course of action","His friends tried to dissuade him from leaving."
